name,team,cmppct,tdpct,intpct,skpct,pacr,adjepacpoe,epaatt,anyatt,passrtg,year,mvp
Josh McCown,NYJ,54.54545455,0.909090909,3.636363636,5.982905983,0.669565217,-0.02462512,-0.294426211,2.94017094,55.83333333,2018,0
Eli Manning,NYG,65.97222222,3.645833333,1.909722222,7.544141252,1.016552376,0.078855945,0.048321778,6.205457464,92.35387731,2018,0
Ben Roethlisberger,PIT,66.96296296,5.037037037,2.37037037,3.433476395,0.976208603,0.146338451,0.211623984,7.042918455,96.45987654,2018,0
Philip Rivers,LAC,66.66666667,5.922165821,2.199661591,5.591054313,1.016737288,0.152048196,0.243590341,7.490415335,102.0480823,2018,0
Alex Smith,WAS,62.5,3.048780488,1.524390244,6.285714286,0.822641509,0.059417178,-0.020173818,5.811428571,85.67073171,2018,0
Aaron Rodgers,GB,62.31155779,4.18760469,0.335008375,7.585139319,0.847548178,0.088821823,0.088472527,6.964396285,97.57467895,2018,0
Ryan Fitzpatrick,TB,66.66666667,6.910569106,4.87804878,5.384615385,0.929300864,0.168121922,0.242147242,8.038461538,100.4234417,2018,0
Matt Ryan,ATL,69.40789474,5.756578947,1.151315789,6.461538462,0.946741011,0.164346823,0.200901712,7.712307692,108.0592105,2018,0
Joe Flacco,BAL,61.21372032,3.166226913,1.583113456,4.050632911,0.761507569,0.070556857,0.050606289,5.964556962,84.15237467,2018,0
Matthew Stafford,DET,66.12612613,3.783783784,1.981981982,6.722689076,0.984619395,0.062611286,0.018480058,5.793277311,89.89864865,2018,0
Cam Newton,CAR,67.94055202,5.095541401,2.760084926,5.8,1.00443787,0.099575099,0.068223692,6.154,94.21886058,2018,0
Blaine Gabbert,TEN,60.3960396,3.96039604,3.96039604,4.716981132,0.881690141,-0.020325716,-0.230449162,4.613207547,74.93811881,2018,0
Andy Dalton,CIN,61.91780822,5.753424658,3.01369863,5.440414508,0.870715982,0.079223514,0.075005545,6.046632124,89.59474886,2018,0
Case Keenum,DEN,62.28668942,3.071672355,2.559726962,5.483870968,0.890363928,0.038838676,-0.028584912,5.387096774,81.22155859,2018,0
Russell Wilson,SEA,65.63876652,7.929515419,1.54185022,10.27667984,0.90732068,0.166000146,0.146686014,7.359683794,110.5726872,2018,0
